id,departement,circonscription,numPanneau,nomCandidat,prenomCandidat,civiliteCandidat,codeNuance,libelleNuance
3852,987,98702,1,SANQUER,Nicole,Mme,DVD,Divers droite
3853,987,98702,2,TARA,Jules Tehuiarii,M.,DVD,Divers droite
3854,987,98702,3,SALMON,Tati,M.,ECO,Ecologistes
3855,987,98702,4,TETUANUI,Tutu,M.,RN,Rassemblement National
3856,987,98702,5,CHAILLOUX,Steve,M.,REG,Régionaliste
3857,987,98703,1,MIHURAA,Naumi,Mme,DVD,Divers droite
3858,987,98703,2,HAUATA,Jules,M.,ECO,Ecologistes
3859,987,98703,3,REID ABERLOT,Mereana,Mme,REG,Régionaliste
3860,987,98703,4,HAITI EPOUSE FLOSSE,Pascale,Mme,DVD,Divers droite
3861,988,98801,1,DUNOYER,Philippe,M.,HOR,Horizons
3862,988,98801,2,METZDORF,Nicolas,M.,DVD,Divers droite
3863,988,98801,3,ANGEXETINE ÉP RAILATI,Juanita Ciane,Mme,REG,Régionaliste
3864,988,98801,4,NAISSELINE,Omayra Lisa Meun,Mme,REG,Régionaliste
