id,departement,circonscription,numPanneau,nomCandidat,prenomCandidat,civiliteCandidat,codeNuance,libelleNuance
3570,94,9408,5,BUCLIN,Olivier,M.,REC,Reconquête !
3571,94,9409,1,AMIROU,Noémie,Mme,ENS,Ensemble ! (Majorité présidentielle)
3572,94,9409,2,CHEVALLIER,Luc,M.,EXG,Extrême gauche
3573,94,9409,3,RAMASSAMY,Ambroise,M.,REC,Reconquête !
3574,94,9409,4,CUI,Wenqi,Mme,RN,Rassemblement National
3575,94,9409,5,JAUBERT,Christophe,M.,ECO,Ecologistes
3576,94,9409,6,VIEIRA,Marie,Mme,EXG,Extrême gauche
3577,94,9409,7,DUCANDAS,Véronique,Mme,EXG,Extrême gauche
3578,94,9409,8,SANTIAGO,Isabelle,Mme,UG,Union de la gauche
3579,94,9409,9,AUBERTIN,Jérôme,M.,LR,Les Républicains
3580,94,9409,10,ORTOLE,Sophie,Mme,EXD,Extrême droite
3581,94,9410,1,AÏSSAOUI,Farid,M.,DIV,Divers
3582,94,9410,2,LABIB,Selma,Mme,EXG,Extrême gauche
3583,94,9410,3,LICHTENAUER,Christine,Mme,EXG,Extrême gauche
3584,94,9410,4,LIN,Elise,Mme,RN,Rassemblement National
3585,94,9410,5,BARBERON,Coralie,Mme,ECO,Ecologistes
3586,94,9410,6,SEBAN,Shannon,Mme,ENS,Ensemble ! (Majorité présidentielle)
3587,94,9410,7,PANOT,Mathilde,Mme,UG,Union de la gauche
3588,94,9410,8,SEVESTRE,Charlotte,Mme,REC,Reconquête !
3589,94,9411,1,SUGRANES,Sébastien,M.,EXG,Extrême gauche
3590,94,9411,2,TAILLÉ-POLIAN,Sophie,Mme,UG,Union de la gauche
3591,94,9411,3,PICOT,Nathalie,Mme,ENS,Ensemble ! (Majorité présidentielle)
3592,94,9411,4,COUSTY,Lydie,Mme,REC,Reconquête !
3593,94,9411,5,BOUCHOT,Sylvie,Mme,RN,Rassemblement National
3594,94,9411,6,SAMSON,Christine,Mme,EXG,Extrême gauche
3595,94,9411,7,RIVET-SOW,Cédric,M.,DVD,Divers droite
3596,94,9411,8,MARIAUD,Charles,M.,UDI,Union des Démocrates et Indépendants
3597,95,9501,1,DE GARILS,Laure,Mme,REC,Reconquête !
3598,95,9501,2,JULES-ARTHUR,Maximillien,M.,UG,Union de la gauche
3599,95,9501,3,LESSAINT,Lionel,M.,DSV,Droite souverainiste
3600,95,9501,4,SOUSSI,Ethel,Mme,EXG,Extrême gauche
